Nombre,Comuna,Direccion,Region
"

                Express de Lider
              ",Pudahuel,"San Pablo 9091, Pudahuel",Metropolitana
"

                Express de Lider
              ",La Florida,"V. Mackenna 8725-8799, La Florida",Metropolitana
"

                Express de Lider
              ",Ñuñoa,"Jorge Monckeberg 1911, Ñuñoa",Metropolitana
"

                Express de Lider
              ",Providencia,"Eliodoro Yáñez 1405, Providencia",Metropolitana
"

                Express de Lider
              ",Estación Central,"Las Rejas Sur 882, Estacion Central",Metropolitana
"

                Express de Lider
              ",Peñaflor,"Vicuña Mackenna 1918, Peñaflor",Metropolitana
"

                Express de Lider
              ",Independencia,"Independencia 650, Independencia",Metropolitana
"

                Express de Lider
              ",Recoleta,"El Salto 1871, Recoleta",Metropolitana
"

                Express de Lider
              ",Santiago,"Lira 464, Santiago",Metropolitana
"

                Express de Lider
              ",Quilicura,"Santa Luisa 366, Quilicura",Metropolitana
"

                Express de Lider
              ",Recoleta,"Bellavista 257, Recoleta",Metropolitana
"

                Express de Lider
              ",Puente Alto,"Juan de Dios Malebrán 1750, Puente Alto",Metropolitana
"

                Express de Lider
              ",Maipú,"Segunda Transversal 1022, Maipú",Metropolitana
"

                Express de Lider
              ",Providencia,"Av. Nueva Providencia #2249, Providencia",Metropolitana
"

                Express de Lider
              ",Providencia,"Pedro de Valdivia 1885, Providencia",Metropolitana
"

                Lider
              ",Ñuñoa,"Av. Irarrázaval 2928, Ñuñoa",Metropolitana
"

                Express de Lider
              ",Vitacura,"Vitacura 4100, Vitacura",Metropolitana
"

                Express de Lider
              ",Las Condes,"Cuarto Centenario 1016, Las Condes",Metropolitana
"

                Express de Lider
              ",Las Condes,"Av. Las Condes 10295, Las Condes",Metropolitana
"

                Express de Lider
              ",Lo Barnechea,"El Rodeo 12850, Lo Barnechea",Metropolitana
"

                Express de Lider
              ",Providencia,"Manuel Montt 80, Providencia",Metropolitana
"

                Lider
              ",San Miguel,"Gran Avenida 6150, San Miguel",Metropolitana
"

                Lider
              ",Quinta Normal,"Matucana 1202, Quinta Normal",Metropolitana
"

                Lider
              ",Huechuraba,"Av. Américo Vespucio 1737, Huechuraba",Metropolitana
"

                Lider
              ",Peñalolén,"Av. Américo Vespucio 3100, Peñalolen",Metropolitana
"

                Lider
              ",Maipú,"Av. Américo Vespucio Norte 1955, Maipu",Metropolitana
"

                Lider
              ",Maipú,"Av. Pajarito 2689, Maipu",Metropolitana
"

                Lider
              ",Puente Alto,"Av. Los Toros 05441, Puente Alto",Metropolitana
"

                Lider
              ",Quilicura,"Av. Ohiggins 314, Quilicura",Metropolitana
"

                Express de Lider
              ",Providencia,"Las Camelias 2875, Providencia",Metropolitana
"

                Express de Lider
              ",Ñuñoa,"Av. Grecia 245, Ñuñoa",Metropolitana
"

                Lider
              ",La Florida,"V. Mackenna 7196, La Florida",Metropolitana
"

                Lider
              ",Macul,"Av. José Pedro Alessandri 2127, Macul",Metropolitana
"

                Express de Lider
              ",San Miguel,"Gran Avenida 4004, San Miguel",Metropolitana
"

                Lider
              ",Vitacura,"Buenaventura 1770, Vitacura",Metropolitana
"

                Express de Lider
              ",Las Condes,"A. Vespucio Sur 1790, Las Condes",Metropolitana
"

                Express de Lider
              ",Maipú,"Ramón Freire 1790, Maipú",Metropolitana
"

                Lider
              ",La Florida,"Froilan Roa 7107 Local 64, La Florida",Metropolitana
"

                Express de Lider
              ",Las Condes,"Apoquindo 6060, Las Condes",Metropolitana
"

                Express de Lider
              ",Providencia,"Rancagua 0180, Providencia",Metropolitana
"

                Lider
              ",Talagante,"Av. Bdo. O´Higgins #807, Talagante",Metropolitana
"

                Lider
              ",Ñuñoa,"Americo Vespucio Sur 881, Ñuñoa",Metropolitana
"

                Lider
              ",Estación Central,"Av. Padre Alberto Hurtado 060, Estacion Central",Metropolitana
"

                Lider
              ",Puente Alto,"Av. Concha y Toro 1149, Puente Alto",Metropolitana
"

                Express de Lider
              ",Las Condes,"Tomás Moro 1590, Las Condes",Metropolitana
"

                Lider
              ",Maipú,"Av. Pajaritos 4500, Maipú",Metropolitana
"

                Lider
              ",La Florida,"Américo Vespucio 6325, La Florida",Metropolitana
"

                Lider
              ",Conchalí,"Independencia 4142, Conchalí",Metropolitana
"

                Lider
              ",San Bernardo,"San José 69, San Bernardo",Metropolitana
"

                Lider
              ",La Florida,"Santa Amalia 1763, La Florida",Metropolitana
"

                Lider
              ",Cerrillos,"Américo Vespucio 2500, Cerrillos",Metropolitana
"

                Lider
              ",Recoleta,"Recoleta 3501, Recoleta",Metropolitana
"

                Lider
              ",San Ramón,"Santa Rosa 9233, San Ramón",Metropolitana
"

                Lider
              ",Las Condes,"Camino El Alba 11865, Las Condes",Metropolitana
"

                Lider
              ",La Reina,"Jorge Alessandri 1131, La Reina",Metropolitana
"

                Lider
              ",Lo Barnechea,"Avda. Las Condes 12916, Las Condes",Metropolitana
"

                Express de Lider
              ",Santiago,"Huérfanos 827, Santiago",Metropolitana
"

                Lider
              ",Lo Prado,"Neptuno N°720, Lo Prado",Metropolitana
"

                Express de Lider
              ",Colina,"Av. Chicureo s/n Sector Laguna Piedra Roja, Colina",Metropolitana
"

                Express de Lider
              ",Estación Central,"Av. Lib. Bernardo O´Higgins 5199, Estacion Central",Metropolitana
"

                Express de Lider
              ",Colina,San Martin S/N,Metropolitana
"

                Central Mayorista
              ",Peñalolén,San Luis de Macul 4335,Metropolitana
"

                Superbodega Acuenta
              ",Puente Alto,Eyzaguirre Oriente,Metropolitana
"

                Express de Lider
              ",Ñuñoa,Av. Irarrázaval 5353,Metropolitana
"

                Superbodega Acuenta
              ",Quilicura,Avenida Matta 1400,Metropolitana
"

                Superbodega Acuenta
              ",San Bernardo,Eucaliptus 81,Metropolitana
"

                Express de Lider
              ",Maipú,Isabel Riquelme Sur S/N,Metropolitana
"

                Express de Lider
              ",Ñuñoa,Irarrázaval Av. 2410,Metropolitana
"

                Lider
              ",Buin,"Maipu s/n, Lote 4-A",Metropolitana
"

                Superbodega Acuenta
              ",El Bosque,Lo Martines/Tucapel,Metropolitana
"

                Express de Lider
              ",Las Condes,Isabel La Catolica / Vespucio,Metropolitana
"

                Express de Lider
              ",Ñuñoa,Av. Salvador 1824-1848,Metropolitana
"

                Express de Lider
              ",Ñuñoa,Jose Domingo Cañas 1580,Metropolitana
"

                Superbodega Acuenta
              ",Conchalí,Santa Inés 2189,Metropolitana
"

                Express de Lider
              ",Renca,"San Diego 219, Santiago",Metropolitana
"

                Express de Lider
              ",Santiago,"Curicó 517, Santiago",Metropolitana
"

                Express de Lider
              ",Santiago,"San Pablo 2902, Santiago",Metropolitana
"

                Express de Lider
              ",Providencia,"Providencia 1630, Providencia",Metropolitana
"

                Express de Lider
              ",Santiago,"Bandera 814, Santiago",Metropolitana
"

                Express de Lider
              ",Santiago,"Alameda 2843, Santiago",Metropolitana
"

                Express de Lider
              ",La Florida,"Colombia 7111, La Florida",Metropolitana
"

                Express de Lider
              ",Puente Alto,"Jose L. Coo 0158, Puente Alto",Metropolitana
"

                Express de Lider
              ",Ñuñoa,"P. de Valdivia 5359, Ñuñoa",Metropolitana
"

                Express de Lider
              ",Recoleta,"Recoleta 2302, Recoleta",Metropolitana
"

                Express de Lider
              ",Ñuñoa,"Coventry 601, Ñuñoa",Metropolitana
"

                Express de Lider
              ",Providencia,"Tobalaba 1177, Providencia",Metropolitana
"

                Express de Lider
              ",La Florida,"V. Mackenna 9840, La Florida",Metropolitana
"

                Express de Lider
              ",Santiago,"Grajales 2146, Santiago",Metropolitana
"

                Express de Lider
              ",Maipú,"El Olimpo 1990, Maipu",Metropolitana
"

                Express de Lider
              ",Ñuñoa,"General Jose Artigas 2877, Ñuñoa",Metropolitana
"

                Express de Lider
              ",Providencia,"Santa Isabel 861, Providencia",Metropolitana
"

                Express de Lider
              ",Cerrillos,"Galileo 1610, Cerrillos",Metropolitana
"

                Express de Lider
              ",Vitacura,"Vitacura 5302, Vitacura",Metropolitana
"

                Express de Lider
              ",Macul,"Ramón Cruz 3219, Macul",Metropolitana
"

                Express de Lider
              ",Ñuñoa,"Irarrázaval 710, Ñuñoa",Metropolitana
"

                Express de Lider
              ",Quinta Normal,"Carrascal 4436, Quinta Normal",Metropolitana
"

                Express de Lider
              ",Maipú,"Primo de Rivera 1447, Maipu",Metropolitana
"

                Express de Lider
              ",Maipú,"Bagdad 855-877, Maipu",Metropolitana
"

                Express de Lider
              ",Providencia,"Los Leones 1875, Providencia",Metropolitana
"

                Express de Lider
              ",Pudahuel,"Laguna Sur - J. Guzmán, Pudahuel",Metropolitana
"

                Express de Lider
              ",Pudahuel,"San Pablo 9091, Pudahuel",Metropolitana
"

                Express de Lider
              ",La Florida,"V. Mackenna 8725-8799, La Florida",Metropolitana
"

                Express de Lider
              ",Ñuñoa,"Jorge Monckeberg 1911, Ñuñoa",Metropolitana
"

                Express de Lider
              ",Providencia,"Eliodoro Yáñez 1405, Providencia",Metropolitana
"

                Express de Lider
              ",Estación Central,"Las Rejas Sur 882, Estacion Central",Metropolitana
"

                Express de Lider
              ",Peñaflor,"Vicuña Mackenna 1918, Peñaflor",Metropolitana
"

                Express de Lider
              ",Independencia,"Independencia 650, Independencia",Metropolitana
"

                Express de Lider
              ",Recoleta,"El Salto 1871, Recoleta",Metropolitana
"

                Express de Lider
              ",Santiago,"Lira 464, Santiago",Metropolitana
"

                Express de Lider
              ",Quilicura,"Santa Luisa 366, Quilicura",Metropolitana
"

                Express de Lider
              ",Recoleta,"Bellavista 257, Recoleta",Metropolitana
"

                Express de Lider
              ",Puente Alto,"Juan de Dios Malebrán 1750, Puente Alto",Metropolitana
"

                Express de Lider
              ",Maipú,"Segunda Transversal 1022, Maipú",Metropolitana
